00:00	0.0
00:05	2.882055796600223e-07
00:10	5.764111593200446e-07
00:15	8.646167389800667e-07
00:20	1.152822318640089e-06
00:25	1.4410278983001112e-06
00:30	1.7292334779601333e-06
00:35	2.0174390576201557e-06
00:40	2.305644637280178e-06
00:45	2.5938502169402003e-06
00:50	2.8820557966002224e-06
00:55	3.1702613762602445e-06
00:60	3.4584669559202667e-06
00:65	3.7466725355802896e-06
00:70	4.034878115240311e-06
00:75	4.323083694900334e-06
00:80	4.611289274560356e-06
00:85	4.899494854220378e-06
00:90	5.187700433880401e-06
00:95	5.475906013540422e-06
00:100	5.764111593200445e-06
00:105	6.052317172860468e-06
00:110	6.340522752520489e-06
00:115	6.6287283321805125e-06
00:120	6.916933911840533e-06
00:125	7.205139491500556e-06
00:130	7.493345071160579e-06
00:135	7.781550650820601e-06
00:140	8.069756230480623e-06
00:145	8.357961810140646e-06
00:150	8.646167389800668e-06
00:155	8.93437296946069e-06
00:160	9.222578549120713e-06
00:165	9.510784128780736e-06
00:170	9.798989708440756e-06
00:175	1.0087195288100778e-05
00:180	1.0375400867760801e-05
00:185	1.0663606447420823e-05
00:190	1.0951812027080845e-05
00:195	1.1240017606740868e-05
00:200	1.152822318640089e-05
00:205	1.1816428766060911e-05
00:210	1.2104634345720937e-05
00:215	1.2392839925380958e-05
00:220	1.2681045505040978e-05
00:225	1.2969251084701003e-05
00:230	1.3257456664361025e-05
00:235	1.3545662244021045e-05
00:240	1.3833867823681067e-05
00:245	1.4122073403341092e-05
00:250	1.4410278983001112e-05
00:255	1.4698484562661137e-05
00:260	1.4986690142321159e-05
00:265	1.527489572198118e-05
00:270	1.5563101301641202e-05
00:275	1.5851306881301225e-05
00:280	1.6139512460961245e-05
00:285	1.642771804062127e-05
00:290	1.6715923620281292e-05
00:295	1.7004129199941312e-05
00:300	1.7292334779601335e-05
00:305	1.758054035926136e-05
00:310	1.786874593892138e-05
00:315	1.8156951518581402e-05
00:320	1.8445157098241426e-05
00:325	1.8733362677901446e-05
00:330	1.9021568257561472e-05
00:335	1.9309773837221492e-05
00:340	1.9597979416881512e-05
00:345	1.988618499654154e-05
00:350	2.0174390576201556e-05
00:355	2.046259615586158e-05
00:360	2.0750801735521603e-05
00:365	2.1039007315181623e-05
00:370	2.1327212894841646e-05
00:375	2.161541847450167e-05
00:380	2.190362405416169e-05
00:385	2.2191829633821713e-05
00:390	2.2480035213481736e-05
00:395	2.2768240793141756e-05
00:400	2.305644637280178e-05
00:405	2.3344651952461803e-05
00:410	2.3632857532121823e-05
00:415	2.392106311178185e-05
00:420	2.4209268691441873e-05
00:425	2.4497474271101893e-05
00:430	2.4785679850761916e-05
00:435	2.5073885430421936e-05
00:440	2.5362091010081956e-05
00:445	2.5650296589741983e-05
00:450	2.5938502169402007e-05
00:455	2.6226707749062023e-05
00:460	2.651491332872205e-05
00:465	2.680311890838207e-05
00:470	2.709132448804209e-05
00:475	2.7379530067702117e-05
00:480	2.7667735647362133e-05
00:485	2.7955941227022157e-05
00:490	2.8244146806682183e-05
00:495	2.8532352386342203e-05
00:500	2.8820557966002223e-05
00:505	2.9108763545662247e-05
00:510	2.9396969125322274e-05
00:515	2.968517470498229e-05
00:520	2.9973380284642317e-05
00:525	3.0261585864302337e-05
00:530	3.054979144396236e-05
00:535	3.083799702362238e-05
00:540	3.1126202603282404e-05
00:545	3.1414408182942424e-05
00:550	3.170261376260245e-05
00:555	3.199081934226247e-05
00:560	3.227902492192249e-05
00:565	3.256723050158251e-05
00:570	3.285543608124254e-05
00:575	3.314364166090256e-05
00:580	3.3431847240562584e-05
00:585	3.3720052820222604e-05
00:590	3.4008258399882624e-05
00:595	3.429646397954265e-05
00:600	3.458466955920267e-05
00:605	3.487287513886269e-05
00:610	3.516108071852272e-05
00:615	3.544928629818274e-05
00:620	3.573749187784276e-05
00:625	3.6025697457502784e-05
00:630	3.6313903037162804e-05
00:635	3.6602108616822824e-05
00:640	3.689031419648285e-05
00:645	3.717851977614287e-05
00:650	3.746672535580289e-05
00:655	3.775493093546292e-05
00:660	3.8043136515122945e-05
00:665	3.833134209478296e-05
00:670	3.8619547674442985e-05
00:675	3.8907753254103005e-05
00:680	3.9195958833763025e-05
00:685	3.948416441342305e-05
00:690	3.977236999308308e-05
00:695	4.006057557274309e-05
00:700	4.034878115240311e-05
00:705	4.063698673206314e-05
00:710	4.092519231172316e-05
00:715	4.1213397891383185e-05
00:720	4.1501603471043205e-05
00:725	4.1789809050703225e-05
00:730	4.2078014630363245e-05
00:735	4.236622021002327e-05
00:740	4.265442578968329e-05
00:745	4.294263136934332e-05
00:750	4.323083694900334e-05
00:755	4.351904252866336e-05
00:760	4.380724810832338e-05
00:765	4.4095453687983405e-05
00:770	4.4383659267643425e-05
00:775	4.467186484730345e-05
00:780	4.496007042696347e-05
00:785	4.524827600662349e-05
00:790	4.553648158628351e-05
00:795	4.582468716594354e-05
00:800	4.611289274560356e-05
00:805	4.6401098325263586e-05
00:810	4.6689303904923606e-05
00:815	4.6977509484583626e-05
00:820	4.7265715064243646e-05
00:825	4.755392064390367e-05
00:830	4.78421262235637e-05
00:835	4.813033180322371e-05
00:840	4.8418537382883746e-05
00:845	4.8706742962543766e-05
00:850	4.8994948542203786e-05
00:855	4.9283154121863806e-05
00:860	4.957135970152383e-05
00:865	4.985956528118385e-05
00:870	5.014777086084387e-05
00:875	5.043597644050389e-05
00:880	5.072418202016391e-05
00:885	5.101238759982394e-05
00:890	5.1300593179483966e-05
00:895	5.158879875914398e-05
00:900	5.187700433880401e-05
00:905	5.216520991846403e-05
00:910	5.2453415498124046e-05
00:915	5.274162107778407e-05
00:920	5.30298266574441e-05
00:925	5.331803223710412e-05
00:930	5.360623781676414e-05
00:935	5.389444339642416e-05
00:940	5.418264897608418e-05
00:945	5.447085455574421e-05
00:950	5.4759060135404233e-05
00:955	5.504726571506425e-05
00:960	5.533547129472427e-05
00:965	5.56236768743843e-05
00:970	5.5911882454044313e-05
00:975	5.620008803370434e-05
00:980	5.648829361336437e-05
00:985	5.677649919302439e-05
00:990	5.706470477268441e-05
00:995	5.735291035234443e-05
00:1000	5.764111593200445e-05
00:1005	5.7929321511664474e-05
00:1010	5.8217527091324494e-05
00:1015	5.8505732670984514e-05
00:1020	5.879393825064455e-05
00:1025	5.908214383030457e-05
00:1030	5.937034940996458e-05
00:1035	5.965855498962461e-05
00:1040	5.9946760569284634e-05
00:1045	6.0234966148944654e-05
00:1050	6.0523171728604674e-05
00:1055	6.0811377308264694e-05
00:1060	6.109958288792471e-05
00:1065	6.138778846758475e-05
00:1070	6.167599404724475e-05
00:1075	6.196419962690479e-05
00:1080	6.225240520656481e-05
