,1,2,5,10,25,50,100,200,500,1000
5-min,0.1119776426373188,0.13594249147464482,0.16489324928483878,0.18224179668037638,0.20262126042514117,0.21801001932690012,0.23283522037664053,0.2483906046597167,0.2876305375064633,0.3201959095244673
10-min,0.16651069829459156,0.1849326063883206,0.2069004453006312,0.22204521647733735,0.24508444199149731,0.2876740415249328,0.33055765229352285,0.3698449322698221,0.41925083989952333,0.4564840823741063
15-min,0.1893380841527678,0.2055297018570057,0.22706144482112361,0.2451938119066402,0.3084657757511192,0.3593869949604569,0.4025373341446281,0.44491310796296013,0.5041686617094072,0.5463973800579911
30-min,0.21931646752287196,0.2347314782711866,0.2847033660661872,0.34793189078888154,0.42518770501269465,0.48199551612849173,0.5368353578121778,0.5921840033178319,0.6610868796087997,0.7123229010869695
60-min,0.24930529464006837,0.28537777815805293,0.35636654092699993,0.4241743636728394,0.5233765829471096,0.5954484656617071,0.6662136192078858,0.7355785115946766,0.8223356134806181,0.8682803293492547
2-hr,0.3032862016975081,0.3544985691492104,0.43457070707144874,0.5015406456770909,0.609365699354261,0.69713835517945,0.7799052337710262,0.8506460186603944,0.9256483442781441,0.9776793556127703
3-hr,0.3520198350188407,0.40432756373128076,0.4924015449352547,0.5652419362766108,0.6687056519461809,0.7643660694485856,0.8474263540092186,0.9111403384760765,0.9972828402648594,1.0
6-hr,0.43816366058203204,0.4929415500974397,0.5848406988145106,0.6625676884761563,0.7717208796419592,0.8492878772765293,0.9116220413952952,0.9925418533848657,1.0,1.0
12-hr,0.5246268291042796,0.5865265510353803,0.6851784291138892,0.7627278704230027,0.8484192363217418,0.9059245620393359,0.975819510630491,1.0,1.0,1.0
24-hr,0.5966997221942869,0.6637154572985551,0.7747679145116368,0.839458166875269,0.9375304166751708,1.0,1.0,1.0,1.0,1.0
2-day,0.6683473161318105,0.7469822268890957,0.8429403439813867,0.9301169459646156,1.0,1.0,1.0,1.0,1.0,1.0
3-day,0.7221539989128777,0.7978745244465368,0.8902668712721861,0.9772969148401248,1.0,1.0,1.0,1.0,1.0,1.0
4-day,0.7746114446785451,0.8300054576079227,0.9230662049879991,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7-day,0.8478751378763654,0.9026435914920061,0.994093604051085,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10-day,0.9015098966625207,0.95526440908545,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20-day,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
30-day,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
45-day,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
60-day,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
